geoName,depression symptoms,signs of depression,am i depressed,depression test,depression quiz,clinical depression,severe depression,major depression,chronic depression,depression diagnosis,depression screening,depression assessment,depression scale,depression severity,depression questionnaire,depression evaluation,always tired,depression nutrition,sleeping too much,no motivation,feeling hopeless,feeling worthless,feeling empty,emotional numbness,can't feel anything,depression habits,no energy to do anything,can't get out of bed,crying for no reason,depression wellness,constant fatigue,can't concentrate,depression routine,depression meditation,depression mindfulness,depression yoga,depression headaches,depression exercise,depression weight gain,depression weight loss,seasonal depression,work stress depression,depression improvement,depression in men,depression chest pain,depression nausea,depression dizziness,depression exhaustion,depression insomnia,depression self care,depression physical symptoms,LGBTQ+ depression support,social media and depression,depression fatigue,depression physical pain,depression reading,depression self help,depression coping,depression management,depression exercises,depression activities,depression diet
New Mexico,79,82,72,80,83,81,82,80,85,68,72,61,76,33,75,50,86,66,65,87,60,50,100,60,83,50,100,80,85,66,57,40,100,40,20,50,80,76,60,66,43,50,100,100,66,100,50,20,66,0,66,59,50,58,100,40,50,57,100,100,85,66
New York,76,67,69,69,55,71,61,63,52,57,50,46,61,33,50,25,80,33,69,51,40,25,56,40,50,50,50,40,57,33,57,40,50,80,20,50,40,46,50,50,63,0,0,47,33,33,50,20,55,50,50,58,33,41,50,40,50,42,80,33,42,55
North Carolina,100,86,69,81,83,71,73,89,76,63,66,46,66,33,50,25,77,33,65,67,60,50,75,40,66,50,50,40,78,66,57,40,50,60,20,50,60,61,70,66,48,50,50,82,33,66,50,20,66,50,66,61,50,58,50,60,50,64,100,66,71,55
North Dakota,87,91,86,100,77,75,100,94,90,94,77,69,100,0,100,50,100,0,78,74,60,75,68,0,83,100,0,60,71,66,85,60,0,80,0,0,0,69,90,66,80,0,0,94,0,0,0,100,77,100,100,50,83,75,0,80,75,71,60,0,85,66
Ohio,87,86,69,86,77,71,82,81,66,68,55,53,61,33,50,25,94,33,65,61,60,50,68,60,66,50,50,60,71,66,71,60,50,60,20,25,60,53,80,66,73,50,50,76,33,66,50,20,66,50,66,58,50,58,50,60,50,57,80,33,71,66
Oklahoma,92,83,80,87,83,75,100,87,85,68,66,69,76,100,50,25,78,66,86,100,80,50,87,60,100,50,100,60,85,66,71,40,50,40,0,25,60,76,90,83,51,50,50,100,66,66,50,20,77,50,50,51,66,58,50,80,50,64,80,66,100,66
Oregon,80,62,75,66,77,71,76,61,76,57,66,46,71,33,50,25,60,66,65,61,80,50,68,60,66,50,50,60,64,33,57,40,50,80,20,50,60,61,70,58,73,50,50,64,33,66,50,20,66,50,66,70,50,66,50,40,75,42,100,66,57,66
Pennsylvania,94,82,77,75,72,81,82,69,66,63,66,53,66,33,75,25,98,66,65,64,80,50,68,40,66,50,100,60,71,66,71,60,50,80,20,50,60,69,80,66,68,0,50,64,66,66,50,20,66,50,50,56,50,58,50,80,50,50,80,66,57,66
Rhode Island,86,76,80,77,88,81,73,80,71,84,77,100,95,33,50,50,97,33,82,80,60,50,81,40,83,50,0,60,64,66,85,60,0,80,20,100,60,69,80,66,78,0,0,76,100,33,0,0,66,0,50,60,50,58,0,60,25,57,100,66,57,55
South Carolina,90,73,69,70,77,75,79,78,76,68,61,61,61,33,50,50,72,66,65,74,60,50,75,60,66,50,100,60,85,33,71,40,50,60,20,50,60,69,70,66,43,50,50,88,33,66,50,20,66,50,66,50,50,66,50,60,50,50,100,66,71,66
South Dakota,86,86,69,95,83,62,85,67,95,73,66,61,76,0,0,0,93,0,78,90,100,75,62,0,50,0,0,60,85,0,57,0,0,0,0,0,60,61,80,75,75,0,0,82,100,0,0,0,88,0,66,48,66,58,0,40,0,50,80,0,71,22
Tennessee,88,82,72,79,77,68,76,72,71,57,66,53,61,33,50,25,74,66,73,67,60,50,68,40,66,50,50,40,78,66,71,40,50,40,0,25,60,53,80,66,58,0,50,76,66,66,50,20,77,50,50,55,50,58,50,40,50,42,80,33,57,66
Texas,92,82,75,90,83,68,76,87,66,63,44,46,57,33,50,25,76,33,78,70,60,50,75,40,66,50,50,40,92,66,57,40,50,40,20,25,60,53,60,50,39,50,50,82,33,66,50,20,66,50,50,55,50,50,50,60,25,42,80,33,71,55
Utah,97,85,97,87,100,78,100,80,85,68,66,61,76,66,75,50,80,100,73,80,60,75,81,80,66,50,50,80,64,66,71,60,50,100,20,50,60,100,90,75,100,50,50,88,66,66,50,40,88,50,66,77,100,75,50,40,50,57,100,66,85,88
Vermont,87,83,100,93,94,93,97,76,66,100,88,53,85,0,75,0,70,0,65,58,0,0,68,100,50,0,0,60,42,100,85,60,0,100,100,50,60,76,100,100,87,0,0,70,0,100,0,60,77,0,83,72,83,100,0,100,50,35,0,100,42,88
Virginia,89,77,66,79,77,68,76,89,80,68,66,53,61,33,75,25,76,66,65,58,60,50,68,60,66,50,50,60,71,66,57,40,50,60,20,25,60,53,70,58,56,0,50,70,33,66,50,20,77,50,50,59,50,50,50,60,25,64,80,33,71,55
Washington,80,73,75,79,77,71,64,61,71,57,55,38,66,33,75,25,70,66,78,61,80,50,75,60,66,50,50,60,71,33,57,40,50,80,20,50,40,53,70,58,65,50,50,64,33,66,50,20,66,50,50,67,50,58,50,40,50,42,100,33,42,66
West Virginia,94,95,86,95,100,90,97,96,90,84,66,76,76,0,75,25,93,66,82,74,100,100,81,40,83,100,100,20,92,0,71,40,50,80,20,25,80,69,90,100,70,100,100,94,33,66,100,0,66,50,100,58,50,58,50,60,50,71,80,66,100,66
Wisconsin,85,79,72,76,77,65,73,61,71,57,66,53,66,33,75,25,89,33,65,64,40,50,68,40,66,50,50,60,64,66,57,40,50,80,20,50,60,61,70,66,73,50,0,82,33,66,50,20,66,50,50,61,50,66,50,40,50,50,80,33,57,66
Wyoming,83,100,94,93,88,87,79,70,80,63,55,69,52,0,0,0,78,0,39,70,0,0,68,0,50,0,0,0,64,0,57,0,0,0,0,0,0,30,80,75,73,0,0,94,0,0,0,0,100,0,66,50,66,75,0,0,0,28,60,0,57,88
